Date,Daily Dota 2 Peak Players
12/25/2012 0:00,184889
12/26/2012 0:00,188263
12/27/2012 0:00,190168
12/28/2012 0:00,194478
12/29/2012 0:00,193507
12/30/2012 0:00,183476
12/31/2012 0:00,179569
1/1/2013 0:00,260989
1/2/2013 0:00,191548
1/3/2013 0:00,195662
1/4/2013 0:00,206468
1/5/2013 0:00,207823
1/6/2013 0:00,200878
1/7/2013 0:00,197441
1/8/2013 0:00,195051
1/9/2013 0:00,199860
1/10/2013 0:00,213862
1/11/2013 0:00,234693
1/12/2013 0:00,223423
1/13/2013 0:00,204455
1/14/2013 0:00,205046
1/15/2013 0:00,206108
1/16/2013 0:00,209216
1/17/2013 0:00,224598
1/18/2013 0:00,249092
1/19/2013 0:00,243759
1/20/2013 0:00,227237
1/21/2013 0:00,224170
1/22/2013 0:00,228490
1/23/2013 0:00,230012
1/24/2013 0:00,243819
1/25/2013 0:00,261921
1/26/2013 0:00,258661
1/27/2013 0:00,237414
1/28/2013 0:00,236552
1/29/2013 0:00,233726
1/30/2013 0:00,238047
1/31/2013 0:00,217567
2/1/2013 0:00,283870
2/2/2013 0:00,261182
2/3/2013 0:00,236051
2/4/2013 0:00,234582
2/5/2013 0:00,235657
2/6/2013 0:00,238126
2/7/2013 0:00,254630
2/8/2013 0:00,273953
2/9/2013 0:00,273967
2/10/2013 0:00,255378
2/11/2013 0:00,253257
2/12/2013 0:00,250883
2/13/2013 0:00,237422
2/14/2013 0:00,259980
2/15/2013 0:00,284234
2/16/2013 0:00,281180
2/17/2013 0:00,256970
2/18/2013 0:00,252643
2/19/2013 0:00,253259
2/20/2013 0:00,255376
2/21/2013 0:00,266857
2/22/2013 0:00,274436
2/23/2013 0:00,283477
2/24/2013 0:00,250751
2/25/2013 0:00,253759
2/26/2013 0:00,248683
2/27/2013 0:00,252186
2/28/2013 0:00,269649
3/1/2013 0:00,325598
3/2/2013 0:00,289711
3/3/2013 0:00,256668
3/4/2013 0:00,257875
3/5/2013 0:00,257117
3/6/2013 0:00,265725
3/7/2013 0:00,266333
3/8/2013 0:00,303068
3/9/2013 0:00,325897
3/10/2013 0:00,267082
3/11/2013 0:00,263995
3/12/2013 0:00,260335
3/13/2013 0:00,262759
3/14/2013 0:00,279310
3/15/2013 0:00,297313
3/16/2013 0:00,293090
3/17/2013 0:00,261736
3/18/2013 0:00,263445
3/19/2013 0:00,263566
3/20/2013 0:00,270405
3/21/2013 0:00,281979
3/22/2013 0:00,303083
3/23/2013 0:00,311078
3/24/2013 0:00,281143
3/25/2013 0:00,272025
3/26/2013 0:00,274017
3/27/2013 0:00,282141
3/28/2013 0:00,299627
3/29/2013 0:00,301486
3/30/2013 0:00,293265
3/31/2013 0:00,274605
4/1/2013 0:00,299667
4/2/2013 0:00,271429
4/3/2013 0:00,267248
4/4/2013 0:00,285748
4/5/2013 0:00,297580
4/6/2013 0:00,300414
4/7/2013 0:00,273058
4/8/2013 0:00,270882
4/9/2013 0:00,269293
4/10/2013 0:00,269683
4/11/2013 0:00,282225
4/12/2013 0:00,297510
4/13/2013 0:00,292130
4/14/2013 0:00,261387
4/15/2013 0:00,262444
4/16/2013 0:00,259406
4/17/2013 0:00,260680
4/18/2013 0:00,270114
4/19/2013 0:00,285389
4/20/2013 0:00,286189
4/21/2013 0:00,267804
4/22/2013 0:00,267223
4/23/2013 0:00,264998
4/24/2013 0:00,261898
4/25/2013 0:00,269414
4/26/2013 0:00,286214
4/27/2013 0:00,292781
4/28/2013 0:00,266221
4/29/2013 0:00,275774
4/30/2013 0:00,261609
5/1/2013 0:00,325815
5/2/2013 0:00,272184
5/3/2013 0:00,292144
5/4/2013 0:00,280686
5/5/2013 0:00,259738
5/6/2013 0:00,256628
5/7/2013 0:00,262217
5/8/2013 0:00,252705
5/9/2013 0:00,269240
5/10/2013 0:00,298705
5/11/2013 0:00,295032
5/12/2013 0:00,302958
5/13/2013 0:00,304621
5/14/2013 0:00,306467
5/15/2013 0:00,302926
5/16/2013 0:00,318890
5/17/2013 0:00,329977
5/18/2013 0:00,328713
5/19/2013 0:00,312562
5/20/2013 0:00,307248
5/21/2013 0:00,304716
5/22/2013 0:00,324498
5/23/2013 0:00,303529
5/24/2013 0:00,311696
5/25/2013 0:00,318606
5/26/2013 0:00,303848
5/27/2013 0:00,317067
5/28/2013 0:00,311520
5/29/2013 0:00,308015
5/30/2013 0:00,303763
5/31/2013 0:00,312245
6/1/2013 0:00,326160
6/2/2013 0:00,298910
6/3/2013 0:00,300585
6/4/2013 0:00,295791
6/5/2013 0:00,297766
6/6/2013 0:00,301152
6/7/2013 0:00,308039
6/8/2013 0:00,326835
6/9/2013 0:00,299360
6/10/2013 0:00,301738
6/11/2013 0:00,293300
6/12/2013 0:00,296693
6/13/2013 0:00,298580
6/14/2013 0:00,305281
6/15/2013 0:00,311932
6/16/2013 0:00,301662
6/17/2013 0:00,298103
6/18/2013 0:00,296900
6/19/2013 0:00,292222
6/20/2013 0:00,289563
6/21/2013 0:00,306830
6/22/2013 0:00,315297
6/23/2013 0:00,303377
6/24/2013 0:00,293750
6/25/2013 0:00,294830
6/26/2013 0:00,293282
6/27/2013 0:00,294990
6/28/2013 0:00,306089
6/29/2013 0:00,324739
6/30/2013 0:00,301960
7/1/2013 0:00,422617
7/2/2013 0:00,299678
7/3/2013 0:00,312026
7/4/2013 0:00,319772
7/5/2013 0:00,335314
7/6/2013 0:00,328486
7/7/2013 0:00,322038
7/8/2013 0:00,314788
7/9/2013 0:00,335335
7/10/2013 0:00,333115
7/11/2013 0:00,327915
7/12/2013 0:00,334106
7/13/2013 0:00,347619
7/14/2013 0:00,334074
7/15/2013 0:00,332896
7/16/2013 0:00,328484
7/17/2013 0:00,337550
7/18/2013 0:00,350927
7/19/2013 0:00,385324
7/20/2013 0:00,396917
7/21/2013 0:00,382742
7/22/2013 0:00,390724
7/23/2013 0:00,376148
7/24/2013 0:00,391566
7/25/2013 0:00,397368
7/26/2013 0:00,410882
7/27/2013 0:00,432837
7/28/2013 0:00,417945
7/29/2013 0:00,423332
7/30/2013 0:00,411302
7/31/2013 0:00,411308
8/1/2013 0:00,520532
8/2/2013 0:00,497332
8/3/2013 0:00,494675
8/4/2013 0:00,473584
8/5/2013 0:00,439522
8/6/2013 0:00,439990
8/7/2013 0:00,443921
8/8/2013 0:00,447368
8/9/2013 0:00,471867
8/10/2013 0:00,497956
8/11/2013 0:00,477143
8/12/2013 0:00,466285
8/13/2013 0:00,463428
8/14/2013 0:00,456510
8/15/2013 0:00,457334
8/16/2013 0:00,469142
8/17/2013 0:00,482395
8/18/2013 0:00,459261
8/19/2013 0:00,451632
8/20/2013 0:00,455760
8/21/2013 0:00,458834
8/22/2013 0:00,460976
8/23/2013 0:00,473934
8/24/2013 0:00,486116
8/25/2013 0:00,476855
8/26/2013 0:00,485440
8/27/2013 0:00,484006
8/28/2013 0:00,490451
8/29/2013 0:00,500715
8/30/2013 0:00,524282
8/31/2013 0:00,384727
9/1/2013 0:00,566715
9/2/2013 0:00,483253
9/3/2013 0:00,483771
9/4/2013 0:00,491679
9/5/2013 0:00,520783
9/6/2013 0:00,541832
9/7/2013 0:00,539723
9/8/2013 0:00,475336
9/9/2013 0:00,483835
9/10/2013 0:00,428406
9/11/2013 0:00,478811
9/12/2013 0:00,508910
9/13/2013 0:00,541350
9/14/2013 0:00,536038
9/15/2013 0:00,477271
9/16/2013 0:00,477645
9/17/2013 0:00,494207
9/18/2013 0:00,483755
9/19/2013 0:00,516188
9/20/2013 0:00,536431
9/21/2013 0:00,524991
9/22/2013 0:00,484336
9/23/2013 0:00,473997
9/24/2013 0:00,499550
9/25/2013 0:00,496673
9/26/2013 0:00,513287
9/27/2013 0:00,546925
9/28/2013 0:00,567901
9/29/2013 0:00,508128
9/30/2013 0:00,492522
10/1/2013 0:00,581615
10/2/2013 0:00,502593
10/3/2013 0:00,515093
10/4/2013 0:00,546946
10/5/2013 0:00,555245
10/6/2013 0:00,481271
10/7/2013 0:00,473205
10/8/2013 0:00,485706
10/9/2013 0:00,488164
10/10/2013 0:00,497371
10/11/2013 0:00,570919
10/12/2013 0:00,561942
10/13/2013 0:00,520709
10/14/2013 0:00,508082
10/15/2013 0:00,508265
10/16/2013 0:00,516568
10/17/2013 0:00,551611
10/18/2013 0:00,581794
10/19/2013 0:00,570259
10/20/2013 0:00,510539
10/21/2013 0:00,526072
10/22/2013 0:00,519706
10/23/2013 0:00,524665
10/24/2013 0:00,544196
10/25/2013 0:00,570239
10/26/2013 0:00,582526
10/27/2013 0:00,520141
10/28/2013 0:00,513151
10/29/2013 0:00,507429
10/30/2013 0:00,455531
10/31/2013 0:00,523012
11/1/2013 0:00,702792
11/2/2013 0:00,567230
11/3/2013 0:00,521723
11/4/2013 0:00,492458
11/5/2013 0:00,502235
11/6/2013 0:00,512647
11/7/2013 0:00,541289
11/8/2013 0:00,580644
11/9/2013 0:00,573938
11/10/2013 0:00,494307
11/11/2013 0:00,500439
11/12/2013 0:00,330197
11/13/2013 0:00,356114
11/14/2013 0:00,653867
11/15/2013 0:00,707938
11/16/2013 0:00,654132
11/17/2013 0:00,548707
11/18/2013 0:00,530955
11/19/2013 0:00,534348
11/20/2013 0:00,509245
11/21/2013 0:00,539328
11/22/2013 0:00,588216
11/23/2013 0:00,577387
11/24/2013 0:00,505544
11/25/2013 0:00,505046
11/26/2013 0:00,508769
11/27/2013 0:00,483019
11/28/2013 0:00,517844
11/29/2013 0:00,542906
11/30/2013 0:00,531279
12/1/2013 0:00,685503
12/2/2013 0:00,476118
12/3/2013 0:00,478642
12/4/2013 0:00,489440
12/5/2013 0:00,532566
12/6/2013 0:00,574132
12/7/2013 0:00,547638
12/8/2013 0:00,500219
12/9/2013 0:00,502393
12/10/2013 0:00,499432
12/11/2013 0:00,504181
12/12/2013 0:00,571497
12/13/2013 0:00,686016
12/14/2013 0:00,693538
12/15/2013 0:00,611280
12/16/2013 0:00,598512
12/17/2013 0:00,572596
12/18/2013 0:00,578418
12/19/2013 0:00,618452
12/20/2013 0:00,651640
12/21/2013 0:00,506467
12/22/2013 0:00,506467
12/23/2013 0:00,561592
12/24/2013 0:00,561501
12/25/2013 0:00,442513
12/26/2013 0:00,587722
12/27/2013 0:00,413692
12/28/2013 0:00,601749
12/29/2013 0:00,584682
12/30/2013 0:00,540407
12/31/2013 0:00,556087
1/1/2014 0:00,673496
1/2/2014 0:00,457656
1/3/2014 0:00,645254
1/4/2014 0:00,634717
1/5/2014 0:00,599540
1/6/2014 0:00,502059
1/7/2014 0:00,577628
1/8/2014 0:00,574509
1/9/2014 0:00,572672
1/10/2014 0:00,626353
1/11/2014 0:00,622623
1/12/2014 0:00,555071
1/13/2014 0:00,552337
1/14/2014 0:00,544645
1/15/2014 0:00,558732
1/16/2014 0:00,581086
1/17/2014 0:00,619653
1/18/2014 0:00,613297
1/19/2014 0:00,576990
1/20/2014 0:00,548326
1/21/2014 0:00,551409
1/22/2014 0:00,575760
1/23/2014 0:00,604594
1/24/2014 0:00,634532
1/25/2014 0:00,642435
1/26/2014 0:00,417186
1/27/2014 0:00,296193
1/28/2014 0:00,578251
1/29/2014 0:00,675958
1/30/2014 0:00,657007
1/31/2014 0:00,661837
2/1/2014 0:00,738682
2/2/2014 0:00,604502
2/3/2014 0:00,596187
2/4/2014 0:00,610285
2/5/2014 0:00,729942
2/6/2014 0:00,667850
2/7/2014 0:00,740345
2/8/2014 0:00,695927
2/9/2014 0:00,609499
2/10/2014 0:00,615469
2/11/2014 0:00,666560
2/12/2014 0:00,613380
2/13/2014 0:00,416160
2/14/2014 0:00,710808
2/15/2014 0:00,706259
2/16/2014 0:00,606829
2/17/2014 0:00,603443
2/18/2014 0:00,620818
2/19/2014 0:00,438497
2/20/2014 0:00,615303
2/21/2014 0:00,675875
2/22/2014 0:00,642813
2/23/2014 0:00,574042
2/24/2014 0:00,579543
2/25/2014 0:00,583930
2/26/2014 0:00,587431
2/27/2014 0:00,606669
2/28/2014 0:00,665749
3/1/2014 0:00,698197
3/2/2014 0:00,585132
3/3/2014 0:00,583428
3/4/2014 0:00,578006
3/5/2014 0:00,584382
3/6/2014 0:00,647284
3/7/2014 0:00,650813
3/8/2014 0:00,656038
3/9/2014 0:00,609114
3/10/2014 0:00,586636
3/11/2014 0:00,588844
3/12/2014 0:00,591707
3/13/2014 0:00,626825
3/14/2014 0:00,679193
3/15/2014 0:00,663760
3/16/2014 0:00,598644
3/17/2014 0:00,608112
3/18/2014 0:00,620428
3/19/2014 0:00,650002
3/20/2014 0:00,543224
3/21/2014 0:00,666854
3/22/2014 0:00,695945
3/23/2014 0:00,623924
3/24/2014 0:00,407062
3/25/2014 0:00,631455
3/26/2014 0:00,634043
3/27/2014 0:00,657624
3/28/2014 0:00,700665
3/29/2014 0:00,679569
3/30/2014 0:00,631615
3/31/2014 0:00,619063
4/1/2014 0:00,734998
4/2/2014 0:00,632635
4/3/2014 0:00,667534
4/4/2014 0:00,702239
4/5/2014 0:00,702365
4/6/2014 0:00,634753
4/7/2014 0:00,649263
4/8/2014 0:00,642001
4/9/2014 0:00,652265
4/10/2014 0:00,697646
4/11/2014 0:00,737526
4/12/2014 0:00,699097
4/13/2014 0:00,648414
4/14/2014 0:00,650573
4/15/2014 0:00,654910
4/16/2014 0:00,647696
4/17/2014 0:00,689652
4/18/2014 0:00,690721
4/19/2014 0:00,659470
4/20/2014 0:00,679703
4/21/2014 0:00,655689
4/22/2014 0:00,656902
4/23/2014 0:00,658341
4/24/2014 0:00,697091
4/25/2014 0:00,681226
4/26/2014 0:00,690882
4/27/2014 0:00,655916
4/28/2014 0:00,663396
4/29/2014 0:00,676331
4/30/2014 0:00,676479
5/1/2014 0:00,843024
5/2/2014 0:00,685495
5/3/2014 0:00,711106
5/4/2014 0:00,664408
5/5/2014 0:00,661168
5/6/2014 0:00,648206
5/7/2014 0:00,668633
5/8/2014 0:00,665149
5/9/2014 0:00,786113
5/10/2014 0:00,796661
5/11/2014 0:00,748984
5/12/2014 0:00,753508
5/13/2014 0:00,731783
5/14/2014 0:00,713343
5/15/2014 0:00,796342
5/16/2014 0:00,845664
5/17/2014 0:00,814752
5/18/2014 0:00,762303
5/19/2014 0:00,787385
5/20/2014 0:00,758622
5/21/2014 0:00,754651
5/22/2014 0:00,788693
5/23/2014 0:00,819935
5/24/2014 0:00,827651
5/25/2014 0:00,799913
5/26/2014 0:00,779319
5/27/2014 0:00,768045
5/28/2014 0:00,754598
5/29/2014 0:00,769048
5/30/2014 0:00,826922
5/31/2014 0:00,837414
6/1/2014 0:00,833145
6/2/2014 0:00,783670
6/3/2014 0:00,778969
6/4/2014 0:00,783644
6/5/2014 0:00,804664
6/6/2014 0:00,819774
6/7/2014 0:00,826114
6/8/2014 0:00,798912
6/9/2014 0:00,789361
6/10/2014 0:00,783876
6/11/2014 0:00,771885
6/12/2014 0:00,806131
6/13/2014 0:00,832085
6/14/2014 0:00,811921
6/15/2014 0:00,766156
6/16/2014 0:00,759217
6/17/2014 0:00,755754
6/18/2014 0:00,532186
6/19/2014 0:00,778962
6/20/2014 0:00,824827
6/21/2014 0:00,783504
6/22/2014 0:00,746380
6/23/2014 0:00,733782
6/24/2014 0:00,728402
6/25/2014 0:00,715385
6/26/2014 0:00,747148
